138,A5 ,2,21-Jun-2019 16:24:40.757624,NuMI
139,15 ,2,21-Jun-2019 16:24:40.823624,Booster
140,15 ,2,21-Jun-2019 16:24:40.890624,Booster
141,15 ,2,21-Jun-2019 16:24:40.957624,Booster
142,15 ,2,21-Jun-2019 16:24:41.023624,Booster
143,15 ,2,21-Jun-2019 16:24:41.090624,Booster
144,15 ,2,21-Jun-2019 16:24:41.160624,Booster
145,15 ,2,21-Jun-2019 16:24:41.220624,Booster
146,15 ,2,21-Jun-2019 16:24:41.290624,Booster
147,15 ,2,21-Jun-2019 16:24:41.360624,Booster
148,15 ,2,21-Jun-2019 16:24:41.420624,Booster
149,15 ,2,21-Jun-2019 16:24:41.490624,Booster
150,15 ,2,21-Jun-2019 16:24:41.560624,Booster
151,2A ,9,21-Jun-2019 16:24:41.560624,MI
152,AE ,2,21-Jun-2019 16:24:41.560624,NuMI
153,1D ,4,21-Jun-2019 16:24:41.620624,Booster
154,1D ,4,21-Jun-2019 16:24:41.690624,Booster
155,1D ,4,21-Jun-2019 16:24:41.760624,Booster
156,1D ,4,21-Jun-2019 16:24:41.820624,Booster
157,1D ,4,21-Jun-2019 16:24:41.890624,Booster
158,1D ,4,21-Jun-2019 16:24:41.960624,Booster
159,1D ,4,21-Jun-2019 16:24:42.020624,Booster
160,1D ,4,21-Jun-2019 16:24:42.090624,Booster
161,1D ,4,21-Jun-2019 16:24:42.160624,Booster
162,E3 ,6,21-Jun-2019 16:24:42.160624,Recycler
163,A5 ,2,21-Jun-2019 16:24:42.160624,NuMI
164,15 ,2,21-Jun-2019 16:24:42.220624,Booster
165,15 ,2,21-Jun-2019 16:24:42.290624,Booster
166,15 ,2,21-Jun-2019 16:24:42.360624,Booster
167,15 ,2,21-Jun-2019 16:24:42.420624,Booster
168,15 ,2,21-Jun-2019 16:24:42.490624,Booster
169,15 ,2,21-Jun-2019 16:24:42.560624,Booster
170,15 ,2,21-Jun-2019 16:24:42.620624,Booster
171,15 ,2,21-Jun-2019 16:24:42.690624,Booster
172,15 ,2,21-Jun-2019 16:24:42.760624,Booster
173,15 ,2,21-Jun-2019 16:24:42.820624,Booster
174,15 ,2,21-Jun-2019 16:24:42.890624,Booster
175,15 ,2,21-Jun-2019 16:24:42.960624,Booster
176,2A ,9,21-Jun-2019 16:24:42.960624,MI
177,AE ,2,21-Jun-2019 16:24:42.960624,NuMI
178,12 ,1,21-Jun-2019 16:24:43.020624,Booster
179,17 ,5,21-Jun-2019 16:24:43.090624,Booster
180,1D ,4,21-Jun-2019 16:24:43.160624,Booster
181,1D ,4,21-Jun-2019 16:24:43.220624,Booster
182,1D ,4,21-Jun-2019 16:24:43.290624,Booster
183,1D ,4,21-Jun-2019 16:24:43.360624,Booster
184,1D ,4,21-Jun-2019 16:24:43.420624,Booster
185,1D ,4,21-Jun-2019 16:24:43.490624,Booster
186,1D ,4,21-Jun-2019 16:24:43.560624,Booster
187,E3 ,6,21-Jun-2019 16:24:43.560624,Recycler
188,A5 ,2,21-Jun-2019 16:24:43.560624,NuMI
189,15 ,2,21-Jun-2019 16:24:43.620624,Booster
190,15 ,2,21-Jun-2019 16:24:43.690624,Booster
191,15 ,2,21-Jun-2019 16:24:43.760624,Booster
192,15 ,2,21-Jun-2019 16:24:43.820624,Booster
193,15 ,2,21-Jun-2019 16:24:43.890624,Booster
194,15 ,2,21-Jun-2019 16:24:43.960624,Booster
195,15 ,2,21-Jun-2019 16:24:44.020624,Booster
196,15 ,2,21-Jun-2019 16:24:44.090624,Booster
197,15 ,2,21-Jun-2019 16:24:44.160624,Booster
198,15 ,2,21-Jun-2019 16:24:44.220624,Booster
199,15 ,2,21-Jun-2019 16:24:44.290624,Booster
200,15 ,2,21-Jun-2019 16:24:44.360624,Booster
201,2A ,9,21-Jun-2019 16:24:44.360624,MI
202,AE ,2,21-Jun-2019 16:24:44.360624,NuMI
203,1D ,4,21-Jun-2019 16:24:44.420624,Booster
204,1D ,4,21-Jun-2019 16:24:44.490624,Booster
205,1D ,4,21-Jun-2019 16:24:44.560624,Booster
206,1D ,4,21-Jun-2019 16:24:44.620624,Booster
207,1D ,4,21-Jun-2019 16:24:44.690624,Booster
208,1D ,4,21-Jun-2019 16:24:44.760624,Booster
209,1D ,4,21-Jun-2019 16:24:44.820624,Booster
210,1D ,4,21-Jun-2019 16:24:44.890624,Booster
211,1D ,4,21-Jun-2019 16:24:44.960624,Booster
212,E3 ,6,21-Jun-2019 16:24:44.960624,Recycler
213,A5 ,2,21-Jun-2019 16:24:44.960624,NuMI
214,15 ,2,21-Jun-2019 16:24:45.020624,Booster
215,15 ,2,21-Jun-2019 16:24:45.090624,Booster
216,15 ,2,21-Jun-2019 16:24:45.160624,Booster
217,15 ,2,21-Jun-2019 16:24:45.220624,Booster
218,15 ,2,21-Jun-2019 16:24:45.290624,Booster
219,15 ,2,21-Jun-2019 16:24:45.360624,Booster
220,15 ,2,21-Jun-2019 16:24:45.420624,Booster
221,15 ,2,21-Jun-2019 16:24:45.490624,Booster
222,15 ,2,21-Jun-2019 16:24:45.560624,Booster
